case,source,case_id,G,D,Y,repeat,flags,within_Gbin_z,max_off_airfoil,max_fluid,nan_in_fluid,inf_in_fluid,frame_of_max,p99_9_off_airfoil,p99_99_off_airfoil,mean_off_airfoil,n_gt_5k_off,n_gt_10k_off,n_gt_20k_off,n_frames_off_gt_3k,n_frames,fluid_cells,read_error
Gust_035_x-1.844_y-0.872_s-2.0_d1.0,run3,G-2.00_D1.00_Y-0.40,-2.0,1.0,-0.4,False,,-0.05,467.2,1832.2,0,0,426,44.0,98.8,1.37,0,0,0,0,480,587200,
Gust_036_x-2.037_y-0.096_s-3.0_d0.5,run3,G-3.00_D0.50_Y+0.40,-3.0,0.5,0.4,False,,-0.67,467.1,2722.9,0,0,399,48.3,82.2,1.05,0,0,0,0,480,587200,
Gust_039_x-1.965_y-0.387_s-3.0_d1.0,run3,G-3.00_D1.00_Y+0.10,-3.0,1.0,0.1,False,,-0.68,466.5,3063.4,0,0,287,49.8,106.4,1.44,0,0,0,4,480,587200,
Gust_021_x-1.916_y-0.581_s1.5_d0.5,run3,G+1.50_D0.50_Y-0.10,1.5,0.5,-0.1,False,,0.24,441.4,2291.6,0,0,411,40.5,83.7,0.78,0,0,0,0,480,587200,
Gust_070_x-1.916_y-0.581_s1.0_d1.5,run3,,1.0,1.5,,False,,1.12,441.3,1370.2,0,0,416,46.1,89.3,0.97,0,0,0,0,480,587200,
Gust_047_x-1.892_y-0.678_s-2.0_d1.5,run3,G-2.00_D1.50_Y-0.20,-2.0,1.5,-0.2,False,,-0.45,430.3,1711.2,0,0,135,44.9,104.1,1.84,0,0,0,0,480,587200,
Gust_003_x-2.037_y-0.096_s-2.0_d1.0,run3,G-2.00_D1.00_Y+0.40,-2.0,1.0,0.4,False,,-0.47,429.0,2184.1,0,0,273,42.8,90.4,0.96,0,0,0,0,480,587200,
Baseline,periodic,Baseline,0.0,0.0,0.0,False,,,424.7,424.7,0,0,652,34.4,63.1,0.56,0,0,0,0,800,587200,
Gust_061_x-1.965_y-0.387_s-1.0_d1.0,run3,G-1.00_D1.00_Y+0.10,-1.0,1.0,0.1,False,,0.95,422.9,1592.8,0,0,270,37.4,71.7,0.88,0,0,0,0,480,587200,
Gust_062_x-1.965_y-0.387_s1.5_d1.5,run3,G+1.50_D1.50_Y+0.10,1.5,1.5,0.1,False,,0.05,414.8,1849.7,0,0,264,54.8,115.1,1.35,0,0,0,0,480,587200,
Gust_064_x-1.965_y-0.387_s-1.5_d0.5,run3,G-1.50_D0.50_Y+0.10,-1.5,0.5,0.1,False,,0.03,411.8,1261.3,0,0,155,39.1,70.3,0.71,0,0,0,0,480,587200,
Gust_009_x-1.965_y-0.387_s0.5_d0.5,periodic,G+0.50_D0.50_Y+0.10,0.5,0.5,0.1,False,,2.82,409.0,952.9,0,0,112,33.8,64.5,0.57,0,0,0,0,800,587200,
Gust_020_x-1.892_y-0.678_s1.5_d1.5,run3,G+1.50_D1.50_Y-0.20,1.5,1.5,-0.2,False,,-0.03,403.9,1728.7,0,0,174,57.5,113.3,1.37,0,0,0,0,480,587200,
Gust_023_x-1.989_y-0.290_s1.0_d1.5,run3,G+1.00_D1.50_Y+0.20,1.0,1.5,0.2,False,,0.69,395.7,2658.4,0,0,437,38.7,79.4,0.95,0,0,0,0,480,587200,
Gust_005_x-1.965_y-0.387_s1.0_d1.0,periodic,G+1.00_D1.00_Y+0.10,1.0,1.0,0.1,False,,0.67,394.6,1676.6,0,0,306,35.4,72.3,0.75,0,0,0,0,800,587200,
Gust_008_x-2.037_y-0.096_s-1.0_d0.5,run3,G-1.00_D0.50_Y+0.40,-1.0,0.5,0.4,False,,0.67,394.4,729.9,0,0,160,35.6,62.8,0.65,0,0,0,0,480,587200,
Gust_015_x-1.941_y-0.484_s-3.0_d0.5,run3,G-3.00_D0.50_Y+0.00,-3.0,0.5,0.0,False,,-1.34,389.2,3156.1,0,0,274,49.3,90.7,1.1,0,0,0,4,480,587200,
Gust_048_x-1.989_y-0.290_s2.0_d1.0,run3,G+2.00_D1.00_Y+0.20,2.0,1.0,0.2,False,,-1.02,378.7,1986.1,0,0,148,49.4,101.9,1.14,0,0,0,0,480,587200,
Gust_012_x-2.037_y-0.096_s-1.5_d1.5,run3,G-1.50_D1.50_Y+0.40,-1.5,1.5,0.4,False,,-0.21,377.8,1872.0,0,0,263,46.0,105.9,1.23,0,0,0,0,480,587200,
Gust_040_x-1.844_y-0.872_s-1.0_d0.5,run3,G-1.00_D0.50_Y-0.40,-1.0,0.5,-0.4,False,,0.15,340.2,644.1,0,0,275,33.9,64.3,0.67,0,0,0,0,480,587200,
Gust_019_x-1.989_y-0.290_s-2.0_d0.5,run3,G-2.00_D0.50_Y+0.20,-2.0,0.5,0.2,False,,-1.44,339.9,1574.0,0,0,280,40.4,72.2,0.77,0,0,0,0,480,587200,
Gust_022_x-2.037_y-0.096_s3.0_d0.5,run3,G+3.00_D0.50_Y+0.40,3.0,0.5,0.4,False,,-1.84,330.7,761.1,0,0,277,45.2,76.4,1.09,0,0,0,0,480,587200,
Gust_015_x-1.916_y-0.581_s1.0_d1.0,periodic,G+1.00_D1.00_Y-0.10,1.0,1.0,-0.1,False,,0.02,326.4,1389.4,0,0,173,44.0,86.6,0.9,0,0,0,0,800,587200,
Gust_066_x-1.916_y-0.581_s-0.5_d0.5,run3,G-0.50_D0.50_Y-0.10,-0.5,0.5,-0.1,False,,0.88,325.6,928.2,0,0,397,37.0,65.3,0.59,0,0,0,0,480,587200,
Gust_018_x-1.916_y-0.581_s0.25_d0.5,periodic,G+0.25_D0.50_Y-0.10,0.25,0.5,-0.1,False,,0.73,325.0,708.8,0,0,710,35.6,63.3,0.55,0,0,0,0,800,587200,
Gust_020_x-1.916_y-0.581_s1.0_d0.5,periodic,G+1.00_D0.50_Y-0.10,1.0,0.5,-0.1,False,,0.0,324.4,1102.7,0,0,290,39.1,76.3,0.69,0,0,0,0,800,587200,
Gust_013_x-1.916_y-0.581_s0.25_d1.0,periodic,G+0.25_D1.00_Y-0.10,0.25,1.0,-0.1,False,,0.62,321.5,1288.7,0,0,465,36.5,67.6,0.57,0,0,0,0,800,587200,
Gust_014_x-1.916_y-0.581_s0.5_d1.0,periodic,G+0.50_D1.00_Y-0.10,0.5,1.0,-0.1,False,,0.66,316.3,926.1,0,0,657,37.8,68.1,0.63,0,0,0,0,800,587200,
Gust_049_x-1.941_y-0.484_s-2.0_d1.0,run3,G-2.00_D1.00_Y+0.00,-2.0,1.0,0.0,False,,-1.73,313.5,2210.0,0,0,148,40.2,82.4,1.19,0,0,0,0,480,587200,
Gust_028_x-1.989_y-0.290_s-0.5_d0.5,run3,G-0.50_D0.50_Y+0.20,-0.5,0.5,0.2,False,,0.47,308.3,613.4,0,0,402,36.6,64.1,0.6,0,0,0,0,480,587200,
Gust_019_x-1.916_y-0.581_s0.5_d0.5,periodic,G+0.50_D0.50_Y-0.10,0.5,0.5,-0.1,False,,0.36,303.5,707.9,0,0,111,35.6,65.2,0.58,0,0,0,0,800,587200,
Gust_026_x-1.989_y-0.290_s-1.5_d1.0,run3,G-1.50_D1.00_Y+0.20,-1.5,1.0,0.2,False,,-0.75,302.6,1905.1,0,0,269,37.3,81.6,0.93,0,0,0,0,480,587200,
Gust_009_x-1.844_y-0.872_s0.5_d1.5,run3,G+0.50_D1.50_Y-0.40,0.5,1.5,-0.4,False,,0.33,302.0,1165.7,0,0,300,43.4,81.8,0.75,0,0,0,0,480,587200,
Gust_065_x-1.916_y-0.581_s-1.5_d1.0,run3,G-1.50_D1.00_Y-0.10,-1.5,1.0,-0.1,False,,-0.76,300.9,1847.3,0,0,388,38.8,79.2,1.06,0,0,0,0,480,587200,
Gust_010_x-1.844_y-0.872_s1.0_d0.5,run3,G+1.00_D0.50_Y-0.40,1.0,0.5,-0.4,False,,-0.29,294.4,1248.6,0,0,163,42.0,78.0,0.72,0,0,0,0,480,587200,
Gust_055_x-1.989_y-0.290_s-1.0_d1.5,run3,G-1.00_D1.50_Y+0.20,-1.0,1.5,0.2,False,,-0.29,293.7,1563.2,0,0,264,44.4,86.4,1.05,0,0,0,0,480,587200,
Gust_016_x-1.989_y-0.290_s0.5_d1.0,run3,G+0.50_D1.00_Y+0.20,0.5,1.0,0.2,False,,0.08,291.2,780.8,0,0,415,33.9,61.5,0.59,0,0,0,0,480,587200,
Gust_050_x-1.892_y-0.678_s0.5_d0.5,run3,G+0.50_D0.50_Y-0.20,0.5,0.5,-0.2,False,,0.0,288.0,700.4,0,0,170,37.3,68.2,0.59,0,0,0,0,480,587200,
Gust_043_x-2.037_y-0.096_s-0.5_d1.0,run3,G-0.50_D1.00_Y+0.40,-0.5,1.0,0.4,False,,-0.0,287.9,729.5,0,0,269,37.1,68.1,0.62,0,0,0,0,480,587200,
Gust_008_x-1.965_y-0.387_s0.25_d0.5,periodic,G+0.25_D0.50_Y+0.10,0.25,0.5,0.1,False,,-0.62,285.0,886.3,0,0,470,34.3,62.9,0.52,0,0,0,0,800,587200,
Gust_024_x-1.892_y-0.678_s-1.0_d1.0,run3,G-1.00_D1.00_Y-0.20,-1.0,1.0,-0.2,False,,-0.42,280.3,1417.7,0,0,389,36.6,66.3,0.84,0,0,0,0,480,587200,
Gust_042_x-1.844_y-0.872_s-0.5_d1.0,run3,G-0.50_D1.00_Y-0.40,-0.5,1.0,-0.4,False,,-0.19,279.6,849.7,0,0,271,34.9,66.4,0.65,0,0,0,0,480,587200,
Gust_056_x-1.989_y-0.290_s1.5_d0.5,run3,G+1.50_D0.50_Y+0.20,1.5,0.5,0.2,False,,-0.97,272.6,839.3,0,0,156,33.0,60.3,0.72,0,0,0,0,480,587200,
Gust_003_x-1.965_y-0.387_s0.25_d1.0,periodic,G+0.25_D1.00_Y+0.10,0.25,1.0,0.1,False,,-1.09,271.0,639.3,0,0,470,35.3,65.1,0.55,0,0,0,0,800,587200,
Gust_006_x-1.892_y-0.678_s-1.5_d0.5,run3,G-1.50_D0.50_Y-0.20,-1.5,0.5,-0.2,False,,-1.0,268.1,1583.7,0,0,156,38.0,70.9,0.74,0,0,0,0,480,587200,
Gust_030_x-1.892_y-0.678_s1.0_d1.0,run3,G+1.00_D1.00_Y-0.20,1.0,1.0,-0.2,False,,-0.56,266.0,1525.7,0,0,173,47.8,91.3,0.87,0,0,0,0,480,587200,
Gust_057_x-1.916_y-0.581_s-2.0_d0.5,run3,G-2.00_D0.50_Y-0.10,-2.0,0.5,-0.1,False,,-2.33,258.9,2420.1,0,0,396,40.9,74.5,0.83,0,0,0,0,480,587200,
Gust_004_x-1.965_y-0.387_s0.5_d1.0,periodic,G+0.50_D1.00_Y+0.10,0.5,1.0,0.1,False,,-0.69,258.4,849.3,0,0,415,35.3,64.1,0.61,0,0,0,0,800,587200,
Gust_001_x-1.965_y-0.387_s1.0_d0.5,periodic,G+1.00_D0.50_Y+0.10,1.0,0.5,0.1,False,,-0.69,252.4,1030.2,0,0,527,31.5,58.3,0.64,0,0,0,0,800,587200,
Gust_007_x-1.941_y-0.484_s-0.5_d1.0,run3,G-0.50_D1.00_Y+0.00,-0.5,1.0,0.0,False,,-1.18,237.5,1072.8,0,0,392,37.2,71.4,0.64,0,0,0,0,480,587200,
Gust_034_x-2.037_y-0.096_s1.0_d0.5,run3,G+1.00_D0.50_Y+0.40,1.0,0.5,0.4,False,,-0.91,229.9,599.7,0,0,93,33.6,60.4,0.65,0,0,0,0,480,587200,
Gust_037_x-2.037_y-0.096_s1.5_d1.0,run3,G+1.50_D1.00_Y+0.40,1.5,1.0,0.4,False,,-1.28,229.1,1140.5,0,0,150,36.0,68.1,0.86,0,0,0,0,480,587200,
Gust_051_x-1.941_y-0.484_s0.5_d1.5,run3,G+0.50_D1.50_Y+0.00,0.5,1.5,0.0,False,,-1.41,227.6,1019.3,0,0,297,37.9,70.4,0.65,0,0,0,0,480,587200,
Gust_025_x-1.916_y-0.581_s-1.0_d1.5,run3,G-1.00_D1.50_Y-0.10,-1.0,1.5,-0.1,False,,-0.97,223.6,1489.3,0,0,262,43.4,82.5,1.05,0,0,0,0,480,587200,
Gust_014_x-1.965_y-0.387_s-0.5_d1.5,run3,G-0.50_D1.50_Y+0.10,-0.5,1.5,0.1,False,,-2.08,198.6,1107.5,0,0,266,37.5,64.7,0.7,0,0,0,0,480,587200,
Gust_067_x-1.941_y-0.484_s1.0_d0.5,run3,G+1.00_D0.50_Y+0.00,1.0,0.5,0.0,False,,-1.33,185.7,1182.9,0,0,173,33.6,61.9,0.65,0,0,0,0,480,587200,
Gust_058_x-1.892_y-0.678_s-0.5_d1.5,run3,G-0.50_D1.50_Y-0.20,-0.5,1.5,-0.2,False,,-2.46,182.2,1045.4,0,0,144,36.3,63.1,0.71,0,0,0,0,480,587200,
Gust_044_x-2.037_y-0.096_s0.5_d1.5,run3,G+0.50_D1.50_Y+0.40,0.5,1.5,0.4,False,,-2.63,174.9,772.4,0,0,299,31.1,57.6,0.58,0,0,0,0,480,587200,
